name,number_of_GFP_kernels,number_of_WT_kernels,cross_type,allele,year,Fiji_or_Earvision,TotalK,TransmissionRate
X415-3x402,106,105,Ear,R01G01,2018,E,211,50.20%
X415-1x402,120,102,Ear,R01G01,2018,E,222,54.10%
X415L-1x402,135,130,Ear,R01G01,2018,E,265,50.90%
X402x415-4m3,147,142,Pollen,R01G01,2018,E,289,50.90%
X403x415-3m1,158,160,Pollen,R01G01,2018,E,318,49.70%
X401x415-1m1,155,167,Pollen,R01G01,2018,E,322,48.10%
X400x415L-1m1,148,177,Pollen,R01G01,2018,E,325,45.50%
Y26-3x1,164,167,Ear,R01G01,2019,E,331,49.50%
Y2x26-2,166,165,Pollen,R01G01,2019,E,331,50.20%
Y26-1x1,180,173,Ear,R01G01,2019,E,353,51.00%
X403x415-4m1,193,197,Pollen,R01G01,2018,E,390,49.50%
Y2x26-5,222,170,Pollen,R01G01,2019,E,392,56.60%
Y2x26-4,224,176,Pollen,R01G01,2019,E,400,56.00%
X402x415-4m2,195,223,Pollen,R01G01,2018,E,418,46.70%
Y26-5x1,210,226,Ear,R01G01,2019,E,436,48.20%
Y2x26-1,216,241,Pollen,R01G01,2019,E,457,47.30%
Y26-2x1,248,240,Ear,R01G01,2019,E,488,50.80%
Y2x26-3,215,273,Pollen,R01G01,2019,E,488,44.10%
Y26-4x1,256,258,Ear,R01G01,2019,E,514,49.80%
X417-2x402,108,81,Ear,R02D02,2018,E,189,57.10%
X417L-1x402,96,108,Ear,R02D02,2018,E,204,47.10%
X402x417-2m3,105,104,Pollen,R02D02,2018,E,209,50.20%
X401x417-2m1,121,122,Pollen,R02D02,2018,E,243,49.80%
X417-3x402,136,121,Ear,R02D02,2018,E,257,52.90%
Y2x18-1,139,140,Pollen,R02D02,2019,E,279,49.80%
X402x417-2m2,141,148,Pollen,R02D02,2018,E,289,48.80%
X400x417-3m1,163,162,Pollen,R02D02,2018,E,325,50.20%
Y18-1x1,193,193,Ear,R02D02,2019,E,386,50.00%
Y2x18-2,196,202,Pollen,R02D02,2019,E,398,49.20%
Y18-4x1,241,233,Ear,R02D02,2019,E,474,50.80%
Y18-5x1,250,224,Ear,R02D02,2019,E,474,52.70%
Y18-3x1,254,237,Ear,R02D02,2019,E,491,51.70%
Y2x18-4,249,242,Pollen,R02D02,2019,E,491,50.70%
Y2x18-5,235,258,Pollen,R02D02,2019,E,493,47.70%
Y18-2x1,267,242,Ear,R02D02,2019,E,509,52.50%
Y2x18-3,245,275,Pollen,R02D02,2019,E,520,47.10%
Y2x274-2m6,47,48,Pollen,R04A02,2019,F,95,49.50%
X418-2x402,74,59,Ear,R04A02,2018,E,133,55.60%
Y2x274-1m2,86,104,Pollen,R04A02,2019,F,190,45.30%
X418-1x402,118,104,Ear,R04A02,2018,E,222,53.20%
X401x418-3m1,108,120,Pollen,R04A02,2018,E,228,47.40%
A14-5x102,108,131,Ear,R04A02,2021,E,239,45.20%
X418-3x402,136,116,Ear,R04A02,2018,E,252,54.00%
Y2x274-4m2,111,148,Pollen,R04A02,2019,E,259,42.90%
B2x561-2,149,128,Pollen,R04A02,2022,E,277,53.80%
A14-1x102,152,128,Ear,R04A02,2021,E,280,54.30%
A14-3x102,136,145,Ear,R04A02,2021,E,281,48.40%
A102x14-4,135,166,Pollen,R04A02,2021,E,301,44.90%
Y2x23-2,125,187,Pollen,R04A02,2019,F,312,40.10%
A102x14-3,145,186,Pollen,R04A02,2021,E,331,43.80%
Y2x274-2m2,150,183,Pollen,R04A02,2019,F,333,45.00%
A102x14-5,136,236,Pollen,R04A02,2021,E,372,36.60%
A14-4x102,208,172,Ear,R04A02,2021,E,380,54.70%
X400x418-2m1,178,207,Pollen,R04A02,2018,E,385,46.20%
Y1x274-1m1,174,212,Pollen,R04A02,2019,E,386,45.10%
Y2x274-5m2,184,209,Pollen,R04A02,2019,E,393,46.80%
Y2x274-1m1,194,204,Pollen,R04A02,2019,F,398,48.70%
X402x418-1m1,159,245,Pollen,R04A02,2018,E,404,39.40%
Y2x23-3,194,221,Pollen,R04A02,2019,F,415,46.70%
Y2x274-2m1,174,269,Pollen,R04A02,2019,F,443,39.30%
Y2x23-1,220,233,Pollen,R04A02,2019,E,453,48.60%
Y23-3x1,238,218,Ear,R04A02,2019,E,456,52.20%
Y2x23-4,184,280,Pollen,R04A02,2019,E,464,39.70%
Y23-2x1,256,215,Ear,R04A02,2019,E,471,54.40%
Y2x274-4m1,204,286,Pollen,R04A02,2019,F,490,41.60%
X402x418-1m2,234,260,Pollen,R04A02,2018,E,494,47.40%
X402x418-1m3,211,289,Pollen,R04A02,2018,E,500,42.20%
Y23-1x1,282,231,Ear,R04A02,2019,E,513,55.00%
Y2x38-3,89,60,Pollen,R04G10,2019,E,149,59.70%
Y2x38-5,164,157,Pollen,R04G10,2019,E,321,51.10%
Y38-5x1,165,162,Ear,R04G10,2019,E,327,50.50%
X402x486-3m1,183,157,Pollen,R04G10,2018,E,340,53.80%
X403x486-1m2,186,181,Pollen,R04G10,2018,E,367,50.70%
X402x486-2m2,197,185,Pollen,R04G10,2018,E,382,51.60%
X486-3x402,191,209,Ear,R04G10,2018,E,400,47.80%
Y2x38-2,204,207,Pollen,R04G10,2019,E,411,49.60%
X403x486-1m1,212,222,Pollen,R04G10,2018,E,434,48.80%
B775B-2x2,223,215,Ear,R04G10,2022,E,438,50.90%
Y2x38-1,218,243,Pollen,R04G10,2019,E,461,47.30%
Y38-1x1,273,210,Ear,R04G10,2019,E,483,56.50%
Y38-3x1,261,226,Ear,R04G10,2019,E,487,53.60%
X486-1x402,274,240,Ear,R04G10,2018,E,514,53.30%
X402x486-2m3,231,293,Pollen,R04G10,2018,E,524,44.10%
Y38-2x1,278,261,Ear,R04G10,2019,E,539,51.60%
X486-2x402,282,284,Ear,R04G10,2018,E,566,49.80%
X402x486-2m1,291,276,Pollen,R04G10,2018,E,567,51.30%
Y2x15-1,69,107,Pollen,R06C04,2019,E,176,39.20%
B751-3x2,140,106,Ear,R06C04,2022,E,246,56.90%
A280-2x102,125,145,Ear,R06C04,2021,E,270,46.30%
Y2x15-2,152,129,Pollen,R06C04,2019,E,281,54.10%
Y2x15-4,159,143,Pollen,R06C04,2019,E,302,52.60%
X400x529A-1m2,134,169,Pollen,R06C04,2018,E,303,44.20%
Y15-1x1,158,164,Ear,R06C04,2019,E,322,49.10%
Y2x15-5,174,153,Pollen,R06C04,2019,E,327,53.20%
X400x529A-6m1,168,183,Pollen,R06C04,2018,E,351,47.90%
B2x752-2,186,174,Pollen,R06C04,2022,E,360,51.70%
Y2x231-4,182,179,Pollen,R06C04,2019,E,361,50.40%
A102x281-2,181,192,Pollen,R06C04,2021,F,373,48.50%
Y2x231-1,187,193,Pollen,R06C04,2019,E,380,49.20%
X402x529A-1m4,182,202,Pollen,R06C04,2018,E,384,47.40%
Y231-5x1,194,192,Ear,R06C04,2019,E,386,50.30%
X402x528-5m3,183,205,Pollen,R06C04,2018,E,388,47.20%
Y231-1x1,203,196,Ear,R06C04,2019,E,399,50.90%
X402x528-5m2,210,200,Pollen,R06C04,2018,E,410,51.20%
X401x528-5m1,210,223,Pollen,R06C04,2018,E,433,48.50%
X401x528-2m1,197,245,Pollen,R06C04,2018,E,442,44.60%
Y2x231-5,244,204,Pollen,R06C04,2019,E,448,54.50%
X402x528-5m4,214,237,Pollen,R06C04,2018,E,451,47.50%
Y1x231-2,228,225,Pollen,R06C04,2019,F,453,50.30%
Y15-5x1,253,272,Ear,R06C04,2019,F,525,48.20%
X403x529A-2m1,240,243,Pollen,R06C04,2018,E,483,49.70%
Y15-2x1,310,300,Ear,R06C04,2019,F,610,50.80%
Y231-2x1,264,246,Ear,R06C04,2019,E,510,51.80%
Y15-4x1,296,284,Ear,R06C04,2019,F,580,51.00%
Y231-4x1,265,251,Ear,R06C04,2019,E,516,51.40%
X402x529A-1m1,312,334,Pollen,R06C04,2018,E,646,48.30%
X420-3x402,67,83,Ear,R08A07,2018,E,150,44.70%
X420-4x402,105,95,Ear,R08A07,2018,E,200,52.50%
Y2x70-5,129,158,Pollen,R08A07,2019,E,287,44.90%
Y2x70-6,191,153,Pollen,R08A07,2019,E,344,55.50%
Y2x70-2,167,183,Pollen,R08A07,2019,E,350,47.70%
Y2x70-1,208,170,Pollen,R08A07,2019,E,378,55.00%
X401x420-4m1,189,203,Pollen,R08A07,2018,E,392,48.20%
X401x420-3m1,200,247,Pollen,R08A07,2018,E,447,44.70%
Y70-3x1,238,224,Ear,R08A07,2019,E,462,51.50%
Y70-2x1,241,233,Ear,R08A07,2019,E,474,50.80%
Y2x70-3,268,206,Pollen,R08A07,2019,E,474,56.50%
Y70-1x1,232,256,Ear,R08A07,2019,E,488,47.50%
X401x420-1m1,249,283,Pollen,R08A07,2018,E,532,46.80%
X401x421-1m2,116,94,Pollen,R101B03,2018,E,210,55.20%
X421-5x402,113,124,Ear,R101B03,2018,E,237,47.70%
X421-4x402,126,137,Ear,R101B03,2018,E,263,47.90%
Y2x34-1,155,176,Pollen,R101B03,2019,E,331,46.80%
X421-1x402,158,189,Ear,R101B03,2018,E,347,45.50%
Y2x34-6,175,178,Pollen,R101B03,2019,E,353,49.60%
X402x421-5m2,182,177,Pollen,R101B03,2018,E,359,50.70%
X402x421-5m3,194,169,Pollen,R101B03,2018,E,363,53.40%
Y2x34-3,166,198,Pollen,R101B03,2019,E,364,45.60%
Y2x34-2,189,182,Pollen,R101B03,2019,E,371,50.90%
X402x421-5m1,197,202,Pollen,R101B03,2018,E,399,49.40%
X402x421-4m1,171,257,Pollen,R101B03,2018,E,428,40.00%
Y34-6x1,220,235,Ear,R101B03,2019,E,455,48.40%
Y34-1x1,252,227,Ear,R101B03,2019,E,479,52.60%
Y34-3x1,249,249,Ear,R101B03,2019,E,498,50.00%
Y34-5x1,257,250,Ear,R101B03,2019,E,507,50.70%
Y34-2x1,242,274,Ear,R101B03,2019,E,516,46.90%
X402x422-2m1,63,50,Pollen,R102H01,2018,E,113,55.80%
Y2x270-3_m2,68,45,Pollen,R102H01,2019,F,113,60.20%
X422-2x402,93,96,Ear,R102H01,2018,E,189,49.20%
Z2x296A-2,66,148,Pollen,R102H01,2020,F,214,30.80%
Y2x270-3m4,124,98,Pollen,R102H01,2019,E,222,55.90%
X402x422-2m3,97,138,Pollen,R102H01,2018,E,235,41.30%
B2x562-2_m1,110,153,Pollen,R102H01,2022,E,263,41.80%
Z2x296A-6,129,143,Pollen,R102H01,2020,E,272,47.40%
Y1x270-5m2,143,148,Pollen,R102H01,2019,E,291,49.10%
A102x15-4,118,188,Pollen,R102H01,2021,E,306,38.60%
X400x422-1m1,161,150,Pollen,R102H01,2018,E,311,51.80%
X401x422-4m1,119,192,Pollen,R102H01,2018,E,311,38.30%
A102x15-3_m2,141,177,Pollen,R102H01,2021,E,318,44.30%
B2x562-2,185,148,Pollen,R102H01,2022,E,333,55.60%
Z88-3x1,175,159,Ear,R102H01,2020,E,334,52.40%
B2x562-1_m1,144,192,Pollen,R102H01,2022,E,336,42.90%
Y24-4x1,162,177,Ear,R102H01,2019,E,339,47.80%
A102x15-2,152,192,Pollen,R102H01,2021,E,344,44.20%
A102x15-5,124,228,Pollen,R102H01,2021,E,352,35.20%
A15-4x102,190,163,Ear,R102H01,2021,E,353,53.80%
Z88-1x1,181,173,Ear,R102H01,2020,E,354,51.10%
A102x15-1,125,229,Pollen,R102H01,2021,E,354,35.30%
Z2x88-1,128,228,Pollen,R102H01,2020,E,356,36.00%
X422-1x402,186,174,Ear,R102H01,2018,E,360,51.70%
Y2x24-3,139,226,Pollen,R102H01,2019,E,365,38.10%
Z2x88-3,188,177,Pollen,R102H01,2020,E,365,51.50%
X422-4x402,184,196,Ear,R102H01,2018,E,380,48.40%
B2x562-4,124,257,Pollen,R102H01,2022,E,381,32.50%
B562-4x2,178,210,Ear,R102H01,2022,E,388,45.90%
Y2x24-2,175,213,Pollen,R102H01,2019,E,388,45.10%
A102x15-3_m1,142,246,Pollen,R102H01,2021,E,388,36.60%
X402x422-4m2,185,217,Pollen,R102H01,2018,E,402,46.00%
B2x562-1,197,229,Pollen,R102H01,2022,E,426,46.20%
B756-2x2,220,211,Ear,R102H01,2022,E,431,51.00%
Y2x24-4,113,319,Pollen,R102H01,2019,F,432,26.20%
Y270-3x1,234,212,Ear,R102H01,2019,E,446,52.50%
Z88-4x1,243,205,Ear,R102H01,2020,E,448,54.20%
Z2x88-6,187,271,Pollen,R102H01,2020,E,458,40.80%
Z2x296A-9,68,391,Pollen,R102H01,2020,F,459,14.80%
Y2x24-5,180,284,Pollen,R102H01,2019,F,464,38.80%
A15-3x102,245,221,Ear,R102H01,2021,E,466,52.60%
A15-2x102,281,216,Ear,R102H01,2021,E,497,56.50%
B562-1x2,261,239,Ear,R102H01,2022,E,500,52.20%
Y24-1x1,241,261,Ear,R102H01,2019,F,502,48.00%
Y24-2x1,240,266,Ear,R102H01,2019,E,506,47.40%
Y24-3x1,252,258,Ear,R102H01,2019,E,510,49.40%
Y24-5x1,272,243,Ear,R102H01,2019,E,515,52.80%
B562-2x2,275,271,Ear,R102H01,2022,E,546,50.40%
Z2x88-4,190,398,Pollen,R102H01,2020,F,588,32.30%
X423-2x402,86,83,Ear,R103E04,2018,E,169,50.90%
Y2x86G-1,89,103,Pollen,R103E04,2019,F,192,46.40%
A102x16-3,72,178,Pollen,R103E04,2021,E,250,28.80%
A102x16-1,113,144,Pollen,R103E04,2021,E,257,44.00%
Y2x86G-2,145,130,Pollen,R103E04,2019,F,275,52.70%
A16-1x102,142,142,Ear,R103E04,2021,E,284,50.00%
X401x423-1m1,135,171,Pollen,R103E04,2018,E,306,44.10%
Y2x86-5,164,153,Pollen,R103E04,2019,F,317,51.70%
A16-4x102,162,161,Ear,R103E04,2021,E,323,50.20%
A102x16-8,183,155,Pollen,R103E04,2021,E,338,54.10%
A16-2x102,174,193,Ear,R103E04,2021,E,367,47.40%
A102x16-4,200,177,Pollen,R103E04,2021,E,377,53.10%
A102x16-7,193,214,Pollen,R103E04,2021,E,407,47.40%
A102x16-2,212,212,Pollen,R103E04,2021,E,424,50.00%
Y2x86-3,209,227,Pollen,R103E04,2019,F,436,47.90%
A102x16-5,220,219,Pollen,R103E04,2021,E,439,50.10%
Y2x86-4,249,195,Pollen,R103E04,2019,F,444,56.10%
Y86-2x1,226,229,Ear,R103E04,2019,F,455,49.70%
Y86-3x1_rescan,249,216,Ear,R103E04,2019,E,465,53.50%
Y86-1x1,271,232,Ear,R103E04,2019,E,503,53.90%
X402x423-2m2,247,258,Pollen,R103E04,2018,E,505,48.90%
Y86G-2x1,237,269,Ear,R103E04,2019,F,506,46.80%
Y86G-1x1,260,252,Ear,R103E04,2019,F,512,50.80%
Y86-5x1,257,269,Ear,R103E04,2019,E,526,48.90%
Y2x86-1,268,272,Pollen,R103E04,2019,E,540,49.60%
Y2x86-2,254,306,Pollen,R103E04,2019,F,560,45.40%
X402x423-2m3,307,280,Pollen,R103E04,2018,E,587,52.30%
Y86-4x1,334,320,Ear,R103E04,2019,F,654,51.10%
Y2x89-4,169,201,Pollen,R106E07,2019,F,370,45.70%
Y2x89-6,199,208,Pollen,R106E07,2019,E,407,48.90%
Y89-7x1,227,196,Ear,R106E07,2019,E,423,53.70%
Y89-2x1,245,248,Ear,R106E07,2019,E,493,49.70%
Y2x89-8,239,259,Pollen,R106E07,2019,E,498,48.00%
Y2x89-7,263,243,Pollen,R106E07,2019,E,506,52.00%
Y89-6x1,264,248,Ear,R106E07,2019,E,512,51.60%
Y89-11x1,263,254,Ear,R106E07,2019,E,517,50.90%
Y89-3x1,253,267,Ear,R106E07,2019,E,520,48.70%
Y2x89-2,250,274,Pollen,R106E07,2019,E,524,47.70%
Y2x89-11,247,286,Pollen,R106E07,2019,E,533,46.30%
Y89-4x1,290,249,Ear,R106E07,2019,E,539,53.80%
Y2x89-3,252,289,Pollen,R106E07,2019,E,541,46.60%
Y89-8x1,304,294,Ear,R106E07,2019,E,598,50.80%
X426L-2x402,83,88,Ear,R106F04,2018,E,171,48.50%
X400x426L-2m2,124,132,Pollen,R106F04,2018,E,256,48.40%
Y37-5x1,135,143,Ear,R106F04,2019,F,278,48.60%
Y2x37-1,134,152,Pollen,R106F04,2019,E,286,46.90%
Y2x37-6,147,142,Pollen,R106F04,2019,E,289,50.90%
X402x426-1m1,157,146,Pollen,R106F04,2018,E,303,51.80%
Y37-3x1,161,145,Ear,R106F04,2019,E,306,52.60%
X426-1x402,157,174,Ear,R106F04,2018,E,331,47.40%
Y2x37-3,162,185,Pollen,R106F04,2019,F,347,46.70%
Y2x37-5,178,224,Pollen,R106F04,2019,F,402,44.30%
X402x426-1m2,200,217,Pollen,R106F04,2018,E,417,48.00%
Y2x37-4,223,206,Pollen,R106F04,2019,E,429,52.00%
X402x426-1m3,214,217,Pollen,R106F04,2018,E,431,49.70%
Y37-4x1,216,231,Ear,R106F04,2019,E,447,48.30%
Y37-6x1,252,207,Ear,R106F04,2019,E,459,54.90%
Y37-1x1,259,274,Ear,R106F04,2019,F,533,48.60%
X402x427-2m3,56,38,Pollen,R106G12,2018,F,94,59.60%
X427L-1x402,134,137,Ear,R106G12,2018,E,271,49.40%
X427-2x402,160,158,Ear,R106G12,2018,E,318,50.30%
X427-3x402,148,179,Ear,R106G12,2018,E,327,45.30%
Y50G-3x1,170,194,Ear,R106G12,2019,E,364,46.70%
Y50G-6x1,213,180,Ear,R106G12,2019,E,393,54.20%
X402x427-2m1,198,198,Pollen,R106G12,2018,E,396,50.00%
Y50G-4x1,193,216,Ear,R106G12,2019,E,409,47.20%
Y50G-1x1,221,198,Ear,R106G12,2019,E,419,52.70%
Y2x50G-3,235,202,Pollen,R106G12,2019,E,437,53.80%
X402x427-3m1,230,221,Pollen,R106G12,2018,E,451,51.00%
Y50G-7x1,227,240,Ear,R106G12,2019,E,467,48.60%
Y50G-5x1,264,215,Ear,R106G12,2019,E,479,55.10%
Y2x50G-6,253,248,Pollen,R106G12,2019,E,501,50.50%
Y50G-2x1,269,249,Ear,R106G12,2019,E,518,51.90%
Y2x50G-2,274,255,Pollen,R106G12,2019,E,529,51.80%
X402x427-2m2,260,274,Pollen,R106G12,2018,E,534,48.70%
B2x540-3,88,85,Pollen,R107C12,2022,E,173,50.90%
X498-4x402,90,112,Ear,R107C12,2018,E,202,44.60%
X498-5x402,149,134,Ear,R107C12,2018,E,283,52.70%
B2x540-4_m2,152,131,Pollen,R107C12,2022,E,283,53.70%
X403x498-5m1,131,174,Pollen,R107C12,2018,E,305,43.00%
B2x540-2,161,159,Pollen,R107C12,2022,E,320,50.30%
X498-3x402,156,171,Ear,R107C12,2018,E,327,47.70%
B540-2x2,167,163,Ear,R107C12,2022,E,330,50.60%
Y88-3x1,157,179,Ear,R107C12,2019,E,336,46.70%
X403x498L-2m3,168,174,Pollen,R107C12,2018,E,342,49.10%
B2x540-4_m1,180,170,Pollen,R107C12,2022,E,350,51.40%
B2x540-1,179,173,Pollen,R107C12,2022,E,352,50.90%
X402x525-1m1,163,208,Pollen,R107C12,2018,E,371,43.90%
X400x498L-2m1,175,198,Pollen,R107C12,2018,E,373,46.90%
X403x498-4m1,191,191,Pollen,R107C12,2018,E,382,50.00%
Y88-4x1,203,181,Ear,R107C12,2019,E,384,52.90%
B2x540-5,177,212,Pollen,R107C12,2022,E,389,45.50%
Y2x88-1,198,198,Pollen,R107C12,2019,E,396,50.00%
X401x525-1m3,209,188,Pollen,R107C12,2018,E,397,52.60%
B540-3x2,202,199,Ear,R107C12,2022,E,401,50.40%
Y88-1x1,200,206,Ear,R107C12,2019,E,406,49.30%
Y2x88-3,213,196,Pollen,R107C12,2019,E,409,52.10%
Y2x88-4,214,215,Pollen,R107C12,2019,E,429,49.90%
X403x498-2m2,232,208,Pollen,R107C12,2018,E,440,52.70%
X403x498-2m3,211,232,Pollen,R107C12,2018,E,443,47.60%
X403x498-3m1,199,245,Pollen,R107C12,2018,E,444,44.80%
X498-2x402,247,199,Ear,R107C12,2018,E,446,55.40%
X403x498L-2m2,232,214,Pollen,R107C12,2018,E,446,52.00%
X498L-2x403,267,220,Ear,R107C12,2018,E,487,54.80%
X402x498-2m1,245,260,Pollen,R107C12,2018,E,505,48.50%
B540-1x2,282,245,Ear,R107C12,2022,E,527,53.50%
X402x525-1m2,289,297,Pollen,R107C12,2018,E,586,49.30%
X429-1x402,60,72,Ear,R12H07,2018,E,132,45.50%
X429-2x402,72,77,Ear,R12H07,2018,E,149,48.30%
Y2x59-2,106,73,Pollen,R12H07,2019,E,179,59.20%
X429L-1x402,157,136,Ear,R12H07,2018,E,293,53.60%
X400x429L-1m1,160,160,Pollen,R12H07,2018,E,320,50.00%
X402x429-2m1,155,179,Pollen,R12H07,2018,E,334,46.40%
Y59-4x1,174,191,Ear,R12H07,2019,E,365,47.70%
X402x429-2m3,180,193,Pollen,R12H07,2018,E,373,48.30%
X400x429-1m1,191,197,Pollen,R12H07,2018,E,388,49.20%
Y2x59-4,214,237,Pollen,R12H07,2019,E,451,47.50%
Y59-2x1,231,235,Ear,R12H07,2019,E,466,49.60%
X402x429-2m2,255,232,Pollen,R12H07,2018,E,487,52.40%
X432-5x402,65,47,Ear,R23D05,2018,E,112,58.00%
X432-2x402,74,76,Ear,R23D05,2018,E,150,49.30%
X432L-3x402,84,106,Ear,R23D05,2018,E,190,44.20%
X432-1x402,96,119,Ear,R23D05,2018,E,215,44.70%
Y2x20-3,108,115,Pollen,R23D05,2019,E,223,48.40%
X402x432-2m2,179,146,Pollen,R23D05,2018,E,325,55.10%
X402x432-1m1,183,173,Pollen,R23D05,2018,E,356,51.40%
Y20-2x1,198,181,Ear,R23D05,2019,E,379,52.20%
Y2x20-4,178,204,Pollen,R23D05,2019,E,382,46.60%
Y20-4x1,183,213,Ear,R23D05,2019,E,396,46.20%
X401x432-2m1,203,193,Pollen,R23D05,2018,E,396,51.30%
Y2x20-5_,206,200,Pollen,R23D05,2019,E,406,50.70%
Y2x20-6_,207,210,Pollen,R23D05,2019,E,417,49.60%
X402x432-2m3,212,209,Pollen,R23D05,2018,E,421,50.40%
Y2x20-2,205,223,Pollen,R23D05,2019,E,428,47.90%
Y20-5x1,252,186,Ear,R23D05,2019,E,438,57.50%
Y20-3x1,241,221,Ear,R23D05,2019,E,462,52.20%
X401x432L-3m1,241,232,Pollen,R23D05,2018,E,473,51.00%
X403x432-5m1,259,269,Pollen,R23D05,2018,E,528,49.10%
B777B-3x2,46,34,Ear,R24D03,2022,F,80,57.50%
Y2x49-3,85,93,Pollen,R24D03,2019,E,178,47.80%
Y2x49-1,114,66,Pollen,R24D03,2019,E,180,63.30%
X403x433-5m1,113,88,Pollen,R24D03,2018,E,201,56.20%
X433-3x402,104,113,Ear,R24D03,2018,E,217,47.90%
X433-5x402,130,108,Ear,R24D03,2018,E,238,54.60%
X403x433L-2m1,112,132,Pollen,R24D03,2018,E,244,45.90%
Y2x49G-1,125,127,Pollen,R24D03,2019,E,252,49.60%
B777A-2x2,183,153,Ear,R24D03,2022,E,336,54.50%
Y2x49-4,190,151,Pollen,R24D03,2019,E,341,55.70%
X402x433L-2m2,167,183,Pollen,R24D03,2018,E,350,47.70%
Y49G-2x1,188,181,Ear,R24D03,2019,E,369,50.90%
Y49G-1x1,183,193,Ear,R24D03,2019,E,376,48.70%
X433-2x402,230,180,Ear,R24D03,2018,E,410,56.10%
Y49-3x1,218,196,Ear,R24D03,2019,E,414,52.70%
Y49-1x1,238,203,Ear,R24D03,2019,E,441,54.00%
Y49-4x1,262,219,Ear,R24D03,2019,E,481,54.50%
Y2x49G-2,227,261,Pollen,R24D03,2019,E,488,46.50%
Y49-_5x1,273,223,Ear,R24D03,2019,E,496,55.00%
