EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
A10-1x102,2021,Ear,10,,1,R84A12,102,,-1,,FALSE,,148,98,246,60.16260163,1,0.405,0.96,0.95,0.956,136,90,2,226,60.17699115,12,12,8,8,20,20,-0.014389524,0.014389524,0.99976088,0.084507042,0.085106383,0.084745763
A10-3x@,2021,Other,10,,3,FALSE,-1,,-1,,FALSE,,124,78,202,61.38613861,1,0.493,0.991,0.98,0.987,,,,,,,,,,,,,,,,,
A10-4x102,2021,Ear,10,,4,R84A12,102,,-1,,FALSE,,92,72,164,56.09756098,0,0,0.963,0.975,0.969,79,68,2,147,53.7414966,13,13,4,4,17,17,2.356064377,2.356064377,1.043840692,0.152046784,0.057142857,0.109324759
A10-7x102,2021,Ear,10,,7,R84A12,102,,-1,,FALSE,,195,165,360,54.16666667,0,0,0.992,0.972,0.983,,,,,,,,,,,,,,,,,
A10-7x102_new,2021,Ear,10,,7,R84A12,102,,-1,,FALSE,,197,181,378,52.11640212,1,0.264,0.994,0.988,0.991,197,186,5,383,51.43603133,0,0,-5,5,-5,5,0.680370785,0.680370785,1.013227513,0,-0.027247956,-0.013140604
A102Ex229-2,2021,Pollen,102,E,-1,FALSE,229,,2,,R114B05,,141,191,332,42.46987952,13,3.768,0.924,0.952,0.94,170,187,0,357,47.61904762,-29,29,4,4,-25,25,-5.149168101,5.149168101,0.89186747,-0.186495177,0.021164021,-0.07256894
A102Ex229-3,2021,Pollen,102,E,-1,FALSE,229,,3,,R114B05,,158,210,368,42.93478261,27,6.835,0.893,0.917,0.907,221,195,0,416,53.125,-63,63,15,15,-48,48,-10.19021739,10.19021739,0.808184143,-0.332453826,0.074074074,-0.12244898
A102Ex229-6,2021,Pollen,102,E,-1,FALSE,229,,6,,R114B05,,184,202,386,47.66839378,4,1.026,0.978,0.977,0.978,190,204,2,394,48.22335025,-6,6,-2,2,-8,8,-0.554956471,0.554956471,0.988491955,-0.032085561,-0.009852217,-0.020512821
A102Ex229-7,2021,Pollen,102,E,-1,FALSE,229,,7,,R114B05,,107,119,226,47.34513274,5,2.165,0.948,0.963,0.956,108,120,0,228,47.36842105,-1,1,-1,1,-2,2,-0.023288309,0.023288309,0.999508358,-0.009302326,-0.008368201,-0.008810573
A102x200-1,2021,Pollen,102,,-1,FALSE,200,,1,,R111F12,,167,149,316,52.84810127,18,5.389,0.932,0.922,0.927,169,177,0,346,48.84393064,-2,2,-28,28,-30,30,4.00417063,4.00417063,1.081978878,-0.011904762,-0.171779141,-0.090634441
