EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
X3-3x402,2018,Ear,3,,3,R95D10,402,,-1,,FALSE,,479,2,481,99.58419958,0,0,0.973,0.595,0.972,,,,,,,,,,,,,,,,,
X3-4x402,2018,Ear,3,,4,R95D10,402,,-1,,FALSE,,211,0,211,100,0,0,0.99,nan,0.99,,,,,,,,,,,,,,,,,
X3-5x402,2018,Ear,3,,5,R95D10,402,,-1,,FALSE,,320,2,322,99.37888199,0,0,0.99,0.984,0.99,,,,,,,,,,,,,,,,,
X3-6_tillerx402,2018,Ear,3,,6,R95D10,402,,-1,,FALSE,,198,229,427,46.37002342,0,0,0.991,0.987,0.989,203,234,5,437,46.45308924,-5,5,-5,5,-10,10,-0.083065826,0.083065826,0.998211834,-0.024937656,-0.021598272,-0.023148148
X3-6x402,2018,Ear,3,,6,R95D10,402,,-1,,FALSE,,157,156,313,50.15974441,0,0,0.994,0.989,0.991,161,160,4,321,50.15576324,-4,4,-4,4,-8,8,0.003981169,0.003981169,1.000079376,-0.025157233,-0.025316456,-0.025236593
X3-7x402,2018,Ear,3,,7,R95D10,402,,-1,,FALSE,,329,1,330,99.6969697,0,0,0.983,0.989,0.983,,,,,,,,,,,,,,,,,
X3-8x402,2018,Ear,3,,8,R95D10,402,,-1,,FALSE,,308,4,312,98.71794872,0,0,0.99,0.925,0.99,,,,,,,,,,,,,,,,,
X4-1x3-3m1,2018,Other,4,,1,FALSE,3,,3,m1,FALSE,,362,3,365,99.17808219,3,0.815,0.976,0.691,0.971,,,,,,,,,,,,,,,,,
X4-1x402,2018,Ear,4,,1,R95D10,402,,-1,,FALSE,TRUE,131,138,269,48.69888476,0,0,0.995,0.992,0.993,132,142,0,274,48.17518248,-1,1,-4,4,-5,5,0.523702277,0.523702277,1.01087079,-0.007604563,-0.028571429,-0.018416206
X4-2x484-4m4,2018,Other,4,,2,FALSE,484,,4,m4,FALSE,,167,184,351,47.57834758,0,0,0.986,0.994,0.99,162,185,4,347,46.68587896,5,5,-1,1,4,4,0.892468616,0.892468616,1.019116457,0.030395137,-0.005420054,0.011461318
X4-3x3-4m1,2018,Other,4,,3,FALSE,3,,4,m1,FALSE,,395,16,411,96.10705596,34,7.64,0.918,0.55,0.88,,,,,,,,,,,,,,,,,
X4-4x400L,2018,Ear,4,,4,R95D10,400,L,-1,,FALSE,TRUE,144,155,299,48.16053512,0,0,0.995,0.988,0.991,141,152,3,293,48.12286689,3,3,3,3,6,6,0.037668223,0.037668223,1.000782751,0.021052632,0.019543974,0.02027027
X4-6x402,2018,Ear,4,,6,R95D10,402,,-1,,FALSE,TRUE,198,212,410,48.29268293,0,0,0.994,0.991,0.993,204,222,1,426,47.88732394,-6,6,-10,10,-16,16,0.405358983,0.405358983,1.008464849,-0.029850746,-0.046082949,-0.038277512
X400Ex493-5m1,2018,Pollen,400,E,-1,FALSE,493,,5,m1,R82B10,,148,183,331,44.71299094,5,1.488,0.958,0.979,0.969,,,,,,,,,,,,,,,,,
X400x3-6m1,2018,Pollen,400,,-1,FALSE,3,,6,m1,R95D10,,181,222,403,44.91315136,1,0.248,0.987,0.986,0.986,183,231,2,414,44.20289855,-2,2,-9,9,-11,11,0.710252814,0.710252814,1.016068014,-0.010989011,-0.039735099,-0.026927785
X400x415L-1m1,2018,Pollen,400,,-1,FALSE,415,L,1,m1,R01G01,,148,177,325,45.53846154,0,0,0.982,0.984,0.983,148,177,3,325,45.53846154,0,0,0,0,0,0,0,0,1,0,0,0
X400x417-3m1,2018,Pollen,400,,-1,FALSE,417,,3,m1,R02D02,,163,162,325,50.15384615,3,0.915,0.964,0.97,0.967,163,157,8,320,50.9375,0,0,5,5,5,5,-0.783653846,0.783653846,0.984615385,0,0.031347962,0.015503876
X400x418-2m1,2018,Pollen,400,,-1,FALSE,418,,2,m1,R04A02,TRUE,178,207,385,46.23376623,0,0,0.987,0.989,0.988,177,214,2,391,45.2685422,1,1,-7,7,-6,6,0.965224034,0.965224034,1.021322181,0.005633803,-0.033254157,-0.015463918
X400x422-1m1,2018,Pollen,400,,-1,FALSE,422,,1,m1,R102H01,TRUE,161,150,311,51.76848875,0,0,0.987,0.984,0.985,161,150,0,311,51.76848875,0,0,0,0,0,0,0,0,1,0,0,0
X400x426L-2m2,2018,Pollen,400,,-1,FALSE,426,L,2,m2,R106F04,,124,132,256,48.4375,2,0.775,0.983,0.97,0.976,117,131,9,248,47.17741935,7,7,1,1,8,8,1.260080645,1.260080645,1.026709402,0.058091286,0.007604563,0.031746032
X400x428-2m1,2018,Pollen,400,,-1,FALSE,428,,2,m1,R108A02,,154,176,330,46.66666667,4,1.198,0.967,0.969,0.968,,,,,,,,,,,,,,,,,
X400x429-1m1,2018,Pollen,400,,-1,FALSE,429,,1,m1,R12H07,,191,197,388,49.22680412,3,0.767,0.972,0.982,0.977,195,194,9,389,50.1285347,-4,4,3,3,-1,1,-0.901730581,0.901730581,0.982011631,-0.020725389,0.015345269,-0.002574003
X400x429L-1m1,2018,Pollen,400,,-1,FALSE,429,L,1,m1,R12H07,,160,160,320,50,0,0,0.983,0.986,0.985,,,,,,,,,,,,,,,,,
X400x434L-1m1,2018,Pollen,400,,-1,FALSE,434,L,1,m1,R26G07,,124,166,290,42.75862069,0,0,0.99,0.983,0.986,120,162,11,282,42.55319149,4,4,4,4,8,8,0.2054292,0.2054292,1.004827586,0.032786885,0.024390244,0.027972028
X400x440L-2m1,2018,Pollen,400,,-1,FALSE,440,L,2,m1,R33F03,,120,149,269,44.60966543,1,0.37,0.98,0.984,0.982,123,150,7,273,45.05494505,-3,3,-1,1,-4,4,-0.445279627,0.445279627,0.990116964,-0.024691358,-0.006688963,-0.014760148
X400x445L-3m1,2018,Pollen,400,,-1,FALSE,445,L,3,m1,R41F01,,170,181,351,48.43304843,5,1.404,0.969,0.97,0.969,173,181,5,354,48.8700565,-3,3,0,0,-3,3,-0.437008064,0.437008064,0.991057754,-0.017492711,0,-0.008510638
X400x446L-2m1,2018,Pollen,400,,-1,FALSE,446,L,2,m1,R44E07,,139,136,275,50.54545455,3,1.079,0.985,0.976,0.981,,,,,,,,,,,,,,,,,
X400x457-1m1,2018,Pollen,400,,-1,FALSE,457,,1,m1,R65A10,,173,162,335,51.64179104,0,0,0.993,0.977,0.985,,,,,,,,,,,,,,,,,
X400x457-1m2,2018,Pollen,400,,-1,FALSE,457,,1,m2,R65A10,,157,137,294,53.40136054,2,0.676,0.986,0.978,0.982,,,,,,,,,,,,,,,,,
X400x459-3m2,2018,Pollen,400,,-1,FALSE,459,,3,m2,R67C09,TRUE,143,171,314,45.54140127,0,0,0.987,0.986,0.986,144,169,19,313,46.00638978,-1,1,2,2,1,1,-0.464988502,0.464988502,0.989892958,-0.006968641,0.011764706,0.003189793
X400x463AL-1m1,2018,Pollen,400,,-1,FALSE,463,A,1,m1,R72F03,,121,120,241,50.20746888,0,0,0.975,0.984,0.979,,,,,,,,,,,,,,,,,
X400x466-4m1,2018,Pollen,400,,-1,FALSE,466,,4,m1,R77F09,TRUE,128,135,263,48.66920152,0,0,0.985,0.988,0.986,127,136,3,263,48.28897338,1,1,-1,1,0,0,0.380228137,0.380228137,1.007874016,0.007843137,-0.007380074,0
X400x466L-2m1,2018,Pollen,400,,-1,FALSE,466,L,2,m1,R77F09,TRUE,173,152,325,53.23076923,0,0,0.99,0.99,0.99,178,155,4,333,53.45345345,-5,5,-3,3,-8,8,-0.222684223,0.222684223,0.995834054,-0.028490028,-0.019543974,-0.024316109
X400x468AL-2m1,2018,Pollen,400,,-1,FALSE,468,A,2,m1,R81E02,,167,149,316,52.84810127,0,0,0.984,0.982,0.983,167,153,2,320,52.1875,0,0,-4,4,-4,4,0.660601266,0.660601266,1.012658228,0,-0.026490066,-0.012578616
X400x474L-2m1,2018,Pollen,400,,-1,FALSE,474,L,2,m1,R87A03,,381,1,382,99.7382199,2,0.521,0.987,0.673,0.984,,,,,,,,,,,,,,,,,
X400x474L-2m2,2018,Pollen,400,,-1,FALSE,474,L,2,m2,R87A03,,347,12,359,96.65738162,16,4.267,0.951,0.595,0.925,,,,,,,,,,,,,,,,,
X400x481AL-1m1,2018,Pollen,400,,-1,FALSE,481,A,1,m1,R92F08,,127,196,323,39.31888545,2,0.615,0.965,0.966,0.965,134,201,8,335,40,-7,7,-5,5,-12,12,-0.681114551,0.681114551,0.982972136,-0.053639847,-0.025188917,-0.036474164
X400x481AL-1m3,2018,Pollen,400,,-1,FALSE,481,A,1,m3,R92F08,,131,182,313,41.85303514,1,0.318,0.984,0.982,0.983,133,186,8,319,41.69278997,-2,2,-4,4,-6,6,0.160245175,0.160245175,1.003843475,-0.015151515,-0.02173913,-0.018987342
X400x483A-3m1,2018,Pollen,400,,-1,FALSE,483,A,3,m1,R98H08,,148,147,295,50.16949153,0,0,0.99,0.983,0.986,147,146,0,293,50.17064846,1,1,1,1,2,2,-0.001156939,0.001156939,0.99997694,0.006779661,0.006825939,0.006802721
X400x485-5m1,2018,Pollen,400,,-1,FALSE,485,,5,m1,R99B02,,192,188,380,50.52631579,0,0,0.978,0.983,0.981,,,,,,,,,,,,,,,,,
X400x485L-3m1,2018,Pollen,400,,-1,FALSE,485,L,3,m1,R99B02,,148,147,295,50.16949153,1,0.338,0.982,0.979,0.981,,,,,,,,,,,,,,,,,
X400x485L-3m2,2018,Pollen,400,,-1,FALSE,485,L,3,m2,R99B02,,137,157,294,46.59863946,1,0.339,0.985,0.983,0.984,,,,,,,,,,,,,,,,,
X400x498L-2m1,2018,Pollen,400,,-1,FALSE,498,L,2,m1,R107C12,,175,198,373,46.91689008,3,0.798,0.966,0.958,0.961,168,196,18,364,46.15384615,7,7,2,2,9,9,0.763043927,0.763043927,1.016532618,0.040816327,0.010152284,0.024423338
X400x502AL-1m2,2018,Pollen,400,,-1,FALSE,502,A,1,m2,R43H02,,144,161,305,47.21311475,0,0,0.99,0.986,0.988,144,161,0,305,47.21311475,0,0,0,0,0,0,0,0,1,0,0,0
X400x505A-1m1,2018,Pollen,400,,-1,FALSE,505,A,1,m1,R75H02,,130,177,307,42.34527687,3,0.968,0.973,0.981,0.977,,,,,,,,,,,,,,,,,
X400x508L-2m1,2018,Pollen,400,,-1,FALSE,508,L,2,m1,R121G01,,199,188,387,51.42118863,2,0.514,0.985,0.977,0.981,198,186,10,384,51.5625,1,1,2,2,3,3,-0.14131137,0.14131137,0.997259416,0.005037783,0.010695187,0.007782101
X400x508L-3m1,2018,Pollen,400,,-1,FALSE,508,L,3,m1,R121G01,,188,123,311,60.45016077,1,0.321,0.983,0.977,0.98,,,,,,,,,,,,,,,,,
X400x509L-1m1,2018,Pollen,400,,-1,FALSE,509,L,1,m1,R132G08,TRUE,127,207,334,38.0239521,2,0.595,0.968,0.97,0.97,120,201,20,321,37.38317757,7,7,6,6,13,13,0.640774526,0.640774526,1.017140719,0.056680162,0.029411765,0.039694656
X400x509L-2m1,2018,Pollen,400,,-1,FALSE,509,L,2,m1,R132G08,TRUE,159,144,303,52.47524752,0,0,0.993,0.991,0.992,163,146,2,309,52.75080906,-4,4,-2,2,-6,6,-0.275561537,0.275561537,0.994776165,-0.02484472,-0.013793103,-0.019607843
X400x511L-4m1,2018,Pollen,400,,-1,FALSE,511,L,4,m1,R174H06,,195,204,399,48.87218045,0,0,0.986,0.988,0.987,195,207,4,402,48.50746269,0,0,-3,3,-3,3,0.364717765,0.364717765,1.007518797,0,-0.01459854,-0.007490637
X400x514L-3m1,2018,Pollen,400,,-1,FALSE,514,L,3,m1,R01F02,,152,170,322,47.20496894,0,0,0.986,0.989,0.988,,,,,,,,,,,,,,,,,
X400x514L-5m1,2018,Pollen,400,,-1,FALSE,514,L,5,m1,R01F02,,130,142,272,47.79411765,0,0,0.991,0.992,0.992,,,,,,,,,,,,,,,,,
X400x515L-3m1,2018,Pollen,400,,-1,FALSE,515,L,3,m1,R02D11,,134,165,299,44.81605351,0,0,0.981,0.977,0.979,,,,,,,,,,,,,,,,,
X400x517L-1m1,2018,Pollen,400,,-1,FALSE,517,L,1,m1,R22A03,,0,347,347,0,0,0,nan,0.973,0.973,,,,,,,,,,,,,,,,,
X400x518L-2m1,2018,Pollen,400,,-1,FALSE,518,L,2,m1,R41A12,,182,191,373,48.79356568,0,0,0.988,0.98,0.984,,,,,,,,,,,,,,,,,
X400x519L-2m1,2018,Pollen,400,,-1,FALSE,519,L,2,m1,R98E11,,156,156,312,50,0,0,0.993,0.994,0.993,156,155,5,311,50.1607717,0,0,1,1,1,1,-0.160771704,0.160771704,0.996794872,0,0.006430868,0.003210273
X400x519L-3m1,2018,Pollen,400,,-1,FALSE,519,L,3,m1,R98E11,,191,168,359,53.20334262,1,0.278,0.985,0.99,0.987,195,171,15,366,53.27868852,-4,4,-3,3,-7,7,-0.075345906,0.075345906,0.998585815,-0.020725389,-0.017699115,-0.019310345
