EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Y10-7x1,2019,Ear,10,,7,R21D01,1,,-1,,FALSE,,204,194,398,51.25628141,0,0,0.989,0.988,0.989,,,,,,,,,,,,,,,,,
Y103x296-3,2019,Other,103,,-1,FALSE,296,,3,,FALSE,,73,64,137,53.28467153,1,0.725,0.956,0.969,0.962,,,,,,,,,,,,,,,,,
Y103x296-4m2,2019,Other,103,,-1,FALSE,296,,4,m2,FALSE,,150,2,152,98.68421053,1,0.654,0.963,0.439,0.953,,,,,,,,,,,,,,,,,
Y103x296-5,2019,Other,103,,-1,FALSE,296,,5,,FALSE,,110,2,112,98.21428571,1,0.885,0.981,0.295,0.963,,,,,,,,,,,,,,,,,
Y103x298-1,2019,Other,103,,-1,FALSE,298,,1,,FALSE,,129,59,188,68.61702128,0,0,0.984,0.941,0.97,,,,,,,,,,,,,,,,,
Y11-1x1,2019,Ear,11,,1,R91F11,1,,-1,,FALSE,,257,261,518,49.61389961,0,0,0.972,0.953,0.962,,,,,,,,,,,,,,,,,
Y11-2x1,2019,Ear,11,,2,R91F11,1,,-1,,FALSE,,282,281,563,50.08880995,0,0,0.979,0.96,0.97,,,,,,,,,,,,,,,,,
Y11-4x1,2019,Ear,11,,4,R91F11,1,,-1,,FALSE,,230,245,475,48.42105263,1,0.21,0.979,0.969,0.974,,,,,,,,,,,,,,,,,
Y11-5x1,2019,Ear,11,,5,R91F11,1,,-1,,FALSE,,262,256,518,50.57915058,0,0,0.977,0.957,0.967,,,,,,,,,,,,,,,,,
Y12-1x1,2019,Ear,12,,1,R39B06,1,,-1,,FALSE,,149,138,287,51.91637631,0,0,0.99,0.983,0.986,,,,,,,,,,,,,,,,,
